age,experience,salary
60,36,107219
50,23,87343
36,5,57148
64,1,87948
29,3,57116
42,10,79112
60,3,74628
40,14,75576
44,5,66822
32,5,63396
32,0,60671
45,23,83866
57,37,107536
61,1,79271
45,14,84439
24,2,49260
43,7,65121
23,1,49938
45,18,70824
65,44,116171
51,4,77004
59,5,92268
23,1,54545
42,21,73440
54,3,76208
33,2,63503
43,19,84335
65,32,113813
46,19,88873
70,48,121352
48,11,81613
63,0,93194
49,25,87583
37,13,72999
36,5,63766
68,36,110045
65,10,94742
24,6,51762
58,35,102545
28,10,56025
42,2,68050
30,0,59242
60,5,84056
39,17,75346
25,7,57397
46,9,79063
35,4,63232
30,6,66029
47,9,67195
23,3,67189
41,1,63144
49,12,83317
68,39,109908
28,1,59021
65,19,101283
29,0,52846
68,36,118165
56,8,84380
35,16,73836
38,8,64414
57,10,87146
61,14,103317
25,7,61515
23,5,55238
27,6,55655
63,34,107437
25,5,56488
50,30,95246
39,16,69317
47,4,78042
65,43,108852
55,13,95456
31,4,56442
57,10,88783
35,8,71326
52,33,95338
69,11,100403
36,2,70776
29,2,60122
35,0,63278
44,7,65376
61,21,92831
42,7,77235
37,10,72150
66,40,117007
39,4,70677
68,13,105449
45,27,85393
47,29,90302
46,2,67457
66,20,95010
62,36,99181
50,4,72974
36,18,80963
66,13,89436
22,1,48882
46,3,66734
28,8,56995
30,12,65048
45,9,72399
22,0,55248
65,17,106370
29,7,49055
45,7,71285
32,6,62696
38,7,74031
29,2,55029
56,37,102500
56,32,93816
54,22,84136
26,0,60627
63,24,91980
60,16,105243
62,32,108626
49,14,85900
28,6,61677
30,1,56337
29,4,60460
33,7,62956
55,5,85265
54,5,81432
69,2,88548
44,6,68847
45,18,76379
58,7,91255
56,14,85713
65,46,106539
61,28,103684
43,0,76273
48,19,88465
56,29,94783
22,2,43066
56,35,100729
58,28,98204
68,37,108554
35,0,64255
24,4,63233
22,4,53311
26,6,57802
47,0,67614
35,3,70287
60,21,96224
48,1,70905
30,9,62718
36,4,67160
36,9,68496
47,0,78331
63,37,110820
34,12,66380
53,30,97706
60,35,107498
70,44,112918
53,23,97247
25,3,52795
51,14,82923
58,28,102757
44,7,77536
60,4,82896
66,28,110215
36,14,67998
64,3,98498
50,11,77459
57,1,83097
34,3,58490
53,35,109813
28,9,54411
43,10,77322
49,26,86025
23,4,51329
63,19,100368
66,10,101523
27,9,67817
49,7,70615
49,5,78439
65,5,98797
65,7,84273
41,22,81672
51,25,90890
32,13,68673
49,10,76238
46,11,70822
60,25,89434
54,12,90682
22,1,55920
48,24,89113
34,0,57929
62,39,101085
24,3,56217
60,42,103696
27,3,52544
29,3,54967
48,4,74612
30,7,57405
58,36,103967
54,7,79691
63,41,114807
65,27,109855
45,25,86043
36,8,69513
53,28,105089
53,13,79637
45,7,68533
62,40,113275
70,21,115333
70,10,97698
33,6,71934
60,0,84482
23,5,50296
24,4,49047
70,20,108147
58,25,92625
70,45,120406
38,3,73917
70,22,104666
23,0,57270
23,0,44627
49,30,89430
44,21,75164
58,39,105965
53,14,90000
54,20,90976
22,0,55935
40,20,74254
23,0,51827
65,9,91263
47,19,85508
53,25,95219
27,8,62012
53,34,92747
25,6,51651
32,3,57079
38,10,69006
59,37,105736
45,1,74640
26,6,52760
55,17,81695
27,1,65679
43,16,72643
32,10,68982
69,43,118056
37,18,75357
54,23,92392
30,8,59876
27,6,60220
37,19,72507
50,5,83832
24,4,56842
41,23,83698
57,32,97964
40,16,74418
47,28,83160
24,6,53435
40,10,66817
41,21,86065
53,25,92953
28,1,56652
62,20,96674
54,6,83188
61,16,106824
60,19,93899
39,8,66648
61,19,98948
22,3,38971
32,14,67520
49,28,89041
46,7,70638
44,16,81739
52,6,80670
51,0,66888
63,31,102067
56,12,73159
28,6,60266
37,18,75516
47,26,83934
69,18,105601
70,31,105188
23,5,48867
22,4,54286
69,48,117457
33,12,66587
26,7,54782
58,18,90945
53,17,86064
30,0,53466
62,13,95112
56,1,77860
40,21,78678
69,27,104656
37,16,65229
24,1,56762
41,5,72398
45,18,92743
54,3,75180
45,0,69455
32,7,62357
70,28,114747
29,6,57164
57,38,98245
59,2,90339
61,31,101917
41,9,76693
56,9,89611
69,18,102751
46,13,78328
56,33,98242
46,27,87524
50,32,98516
39,17,71318
67,6,94444
39,7,63707
23,0,45729
56,2,81445
37,7,57699
62,36,117703
57,2,76535
54,32,97600
25,3,60141
54,7,78485
35,1,50587
42,2,66775
69,31,106326
41,23,69318
29,7,61724
28,10,62235
24,3,59112
38,19,69996
54,36,92204
69,20,102066
33,13,67058
43,22,86507
43,15,84753
67,17,106572
51,6,80883
59,9,92497
59,6,83498
66,32,109442
29,6,53744
48,20,85513
48,18,84443
55,18,98911
42,3,68455
51,28,93150
54,17,89985
49,1,72426
68,0,87188
54,4,87494
26,3,50295
69,10,91460
40,9,74801
25,6,61889
56,1,78743
70,2,92020
38,11,72213
65,19,96361
49,4,72591
51,29,97698
50,8,82836
67,33,116656
27,4,50437
56,34,98288
62,21,99806
58,23,91372
45,16,83308
50,9,86523
70,29,107483
67,45,117493
52,22,97278
56,31,107996
54,16,91929
42,17,80967
53,16,83031
44,13,79196
54,8,86184
24,1,51148
39,12,69326
46,24,79394
63,38,100811
52,8,71861
24,5,57497
61,21,98238
67,42,113081
45,13,76643
53,3,80552
68,25,105377
43,25,76997
44,12,81365
23,1,52821
48,22,87729
63,36,112488
23,2,47832
47,5,81369
38,17,73700
61,20,101343
54,35,103272
30,8,56606
64,37,112315
69,33,113531
60,16,93752
50,24,88928
63,37,108471
47,25,91363
56,11,89890
46,22,84752
45,20,75040
34,9,68472
28,5,61818
57,20,104802
66,26,110377
41,5,60404
22,2,51392
29,7,69357
67,33,113218
37,11,71543
35,12,73201
33,8,61388
44,20,83990
36,6,64748
49,9,79402
55,16,93242
23,1,46666
53,20,96140
44,25,82486
43,13,77803
46,1,64997
43,21,84899
43,10,81933
70,0,90427
63,35,102149
27,2,56890
36,10,75674
64,39,103751
58,10,82668
54,35,97329
29,0,51998
65,38,107214
65,39,101429
26,2,57545
60,33,105494
25,6,47606
27,7,65786
66,21,110405
53,4,76345
51,32,100933
68,35,109335
56,19,92706
61,18,91521
37,2,75571
34,10,65120
63,16,96932
51,33,92260
40,8,80107
38,1,74233
40,20,86155
49,8,83682
47,8,73976
58,39,109739
47,16,81865
44,0,76162
30,8,67380
33,12,63654
22,2,55739
22,1,53810
68,24,91732
55,34,103905
53,2,76741
69,49,117070
46,4,69584
61,43,110024
66,43,117600
22,2,44173
37,5,67249
60,33,106684
26,2,63909
43,4,65717
50,16,82852
24,1,53508
33,8,70237
47,22,83979
37,16,78893
58,11,79113
43,15,71433
50,23,90543
35,7,58646
49,30,86228
26,4,53161
68,16,104657
70,22,96720
51,15,85751
67,5,98465
26,7,56625
33,8,62656
37,17,75509
47,24,85739
47,11,85852
69,14,94943
42,8,72342
60,25,100028
57,31,98008
54,9,69644
51,15,84095
58,6,90301
44,16,83091
31,6,63274
26,4,50311
57,21,95877
55,6,80233
52,13,86367
31,4,60908
40,6,64718
53,8,78038
22,2,52775
26,7,56494
66,22,98399
25,4,50286
37,17,71981
45,19,89741
37,6,64270
23,2,51830
70,17,103708
49,26,84045
53,16,78486
48,13,75867
41,23,81935
45,2,72137
33,11,69812
56,33,100684
54,2,79252
54,36,97180
64,42,117223
58,39,101004
33,9,59548
24,6,58035
22,3,44934
54,14,99074
61,3,87100
31,12,66840
64,21,96158
65,24,101324
50,12,80066
34,0,57891
33,15,71865
52,1,75152
67,34,115788
23,1,64616
56,33,98722
44,26,85962
38,12,73297
47,12,88558
29,1,56287
50,31,89455
47,2,67168
31,10,63610
47,6,73658
55,28,106350
62,28,111449
28,4,52428
25,3,50746
66,15,98769
32,7,69986
50,9,80685
57,29,95464
46,24,85506
42,6,68258
57,19,95712
31,4,56755
58,0,79648
30,0,62810
45,2,67858
56,13,80969
70,29,110875
56,3,80398
69,17,104857
57,36,104487
39,15,73940
70,0,92695
60,14,88721
53,8,82917
45,14,83306
44,16,74333
53,23,91473
58,3,89192
33,11,68827
70,36,121147
34,4,60159
44,10,66446
46,27,88603
56,5,85213
62,38,115442
51,23,95641
38,10,72884
70,12,104027
41,1,66541
69,24,100404
46,6,75589
43,19,85013
34,3,65682
40,7,74369
70,19,102261
57,28,96772
33,14,70517
62,44,109467
40,13,71221
33,9,66590
30,10,66805
28,1,54802
49,24,82684
35,8,62621
52,2,79018
40,5,69958
68,4,94806
37,4,68306
26,5,56429
56,22,94925
33,0,59475
46,8,81944
42,2,76162
57,19,86755
44,25,83324
37,16,73064
60,41,107265
66,34,118765
63,17,98020
60,16,89573
35,2,65682
52,31,96755
26,2,56121
56,37,111639
44,12,78554
50,24,87882
64,8,82624
32,3,59773
39,13,79430
68,36,112344
33,1,49100
30,10,60508
31,8,67663
65,2,92429
38,8,64801
59,2,81474
28,8,57946
67,33,106786
34,11,57052
61,41,113318
63,8,97785
30,7,53608
48,24,93819
23,4,52585
26,1,60126
50,23,88990
58,14,91278
59,37,107162
40,7,66250
29,10,68073
69,4,88893
66,47,115590
22,1,53021
43,17,76354
38,5,71088
28,4,64479
46,27,92663
66,47,107919
25,4,55529
57,27,102643
27,4,50116
52,12,87618
40,16,78937
65,39,105840
60,31,106771
48,29,91963
31,12,68352
47,18,78268
40,2,67951
60,39,98876
24,1,40815
66,39,113504
34,12,73303
49,12,82565
41,0,66583
49,5,76162
29,7,55587
62,18,95491
60,15,95108
22,3,49424
24,0,55353
34,15,70580
49,8,80485
70,12,104643
46,10,74766
54,24,96297
59,41,105768
27,3,57798
65,26,100871
66,37,107046
53,6,81759
66,4,82374
68,42,114919
42,12,66968
37,18,77996
42,22,86251
32,9,59880
58,9,89742
57,31,104396
56,29,102312
40,6,70672
41,17,80772
39,3,63653
68,1,92216
62,13,91264
70,12,96531
35,11,68280
36,6,67738
52,1,83218
22,4,53526
24,5,57810
37,16,76166
44,8,87838
32,0,49750
33,7,60460
31,1,65870
53,23,89740
37,12,74929
29,2,58450
59,5,96626
33,2,55335
45,6,80209
49,9,88248
29,8,55828
49,31,96614
57,33,96273
47,27,88651
29,11,61417
49,14,70486
49,29,93621
58,36,104517
62,28,109995
57,21,96956
48,3,86454
38,19,76135
30,3,58272
54,3,79478
41,16,74302
34,11,56161
49,21,85599
69,16,91361
50,9,82660
34,0,54400
67,21,98428
56,25,92053
27,7,57475
39,17,75334
26,1,59422
68,13,96112
46,14,82201
23,4,66754
31,11,66387
51,11,81598
66,6,89104
26,0,52428
54,5,77169
22,2,52343
39,10,71618
53,22,80089
68,25,106107
70,33,118181
32,13,64604
42,1,65136
47,28,82211
46,3,63910
43,16,82457
48,2,73493
70,12,104060
34,8,73057
54,14,91606
55,28,93588
62,28,103324
56,10,83326
22,3,48059
42,1,70114
69,46,115539
27,3,45054
49,21,82259
38,10,68666
26,2,62207
52,16,83945
26,7,60160
59,27,98458
24,4,60132
44,20,87385
58,15,97081
58,36,95130
31,10,64934
31,3,63495
40,5,70908
38,18,78183
42,24,82492
35,4,60176
30,2,49715
67,0,87072
22,1,63791
66,37,109172
34,14,59203
25,1,56763
22,4,56477
70,34,119837
61,24,101655
53,23,95728
55,11,95301
49,17,80573
52,14,80481
29,11,57227
60,15,91671
47,26,95067
55,7,86340
24,3,55843
33,13,58403
22,0,46334
65,16,88922
26,4,61656
51,7,88028
51,14,88198
38,13,67066
69,49,128910
68,6,93534
44,2,64728
36,11,64178
58,23,93849
42,2,69248
35,13,68493
23,0,43637
32,13,72667
60,13,91047
59,6,83131
55,16,94652
59,19,88583
55,35,92356
39,8,76262
51,21,97957
36,1,60690
48,23,86770
55,7,77967
59,10,89127
54,12,83421
45,16,79589
36,7,68646
51,20,82409
63,17,95091
38,17,65381
26,5,54625
50,31,93133
25,2,54845
31,12,66298
38,0,68720
31,11,56802
38,5,59769
41,8,74345
45,7,64505
26,5,57317
55,23,87399
27,8,66964
23,0,51952
34,11,66104
64,45,120739
64,31,100883
69,14,96133
32,5,55493
68,21,99475
44,19,81306
37,0,65770
52,9,87007
32,7,53876
37,17,72641
29,11,57159
25,0,51474
61,1,97171
25,0,53959
46,0,75897
24,0,61403
53,12,90537
24,5,52360
48,0,66821
50,12,82049
53,25,89861
40,21,70977
42,6,72605
26,1,55329
39,5,76946
49,6,75891
63,25,103101
43,13,73173
42,17,82366
27,1,54277
22,1,44537
26,6,56933
62,43,113553
33,0,60976
47,7,81729
67,10,89060
55,2,76486
70,5,99199
35,8,62674
47,5,76502
66,8,82101
48,6,90380
30,8,60451
47,17,88470
68,11,96116
43,7,74973
68,7,102860
51,27,97929
64,19,97978
69,46,119024
38,6,72818
47,10,89966
57,19,93661
22,3,61385
29,5,57893
70,21,110360
56,25,100906
36,2,61550
68,40,111465
43,9,79827
35,13,66642
47,10,73828
49,17,80880
44,21,79522
35,11,72383
45,22,86275
23,3,56078
66,12,98707
47,24,83731
35,12,72186
28,2,62312
24,1,55123
68,18,104248
44,22,78965
67,45,118359
64,35,104499
68,44,117480
66,7,85399
39,20,68937
59,31,100745
56,17,87858
36,5,65934
46,17,80926
58,18,93151
49,21,89743
31,4,57984
60,31,101503
38,8,76275
60,2,85215
43,9,73204
47,18,83513
65,34,108093
46,28,84652
38,14,67610
34,0,56783
41,6,74865
46,11,74850
25,0,51725
31,13,69204
24,4,52608
62,30,106967
66,23,95496
39,19,75837
68,36,113194
57,3,83216
68,27,99135
43,11,81316
55,19,86627
68,23,106675
29,1,56740
61,31,108519
70,40,127937
65,35,103048
40,20,74755
63,33,107445
62,35,101273
58,1,86711
27,1,59117
47,3,76897
55,5,83683
66,38,119049
27,9,53922
58,11,89126
54,2,76106
43,12,80350
42,17,68833
27,7,58360
27,4,58376
69,14,95763
25,0,49369
51,25,90977
32,7,67775
51,29,88136
52,22,85708
45,9,81528
30,11,62235
24,5,50712
