Age,EstimatedSalary,Purchased
27,49373,0
50,44574,0
49,32676,0
25,26737,0
39,36032,1
38,98945,0
44,35896,0
50,67924,0
38,62520,0
18,117720,0
35,93781,1
32,35524,0
18,142926,1
54,21435,0
64,122302,1
31,119616,1
33,130616,1
47,123537,0
22,24494,0
29,78066,1
53,73302,1
37,120978,1
49,75106,0
48,58709,1
40,84644,0
26,21645,0
25,38574,0
55,147706,1
62,27314,0
36,95713,0
46,85155,1
31,84484,0
63,74756,1
62,68756,1
41,96534,1
49,129777,1
58,60998,0
26,75337,0
19,106231,0
53,144450,1
44,92847,1
24,93340,1
37,21759,0
53,118875,1
63,66163,1
52,99026,0
39,68874,0
62,134618,1
34,21279,0
60,80504,1
58,86017,1
43,61755,0
47,69688,0
36,57904,0
38,107958,1
59,54387,0
61,32254,1
28,21828,0
49,139797,1
47,46172,0
42,47696,0
25,121834,0
21,111248,1
45,131939,1
31,55772,1
20,74620,0
56,74237,1
23,53742,0
51,78596,1
62,44762,1
52,65558,1
48,42180,0
64,54020,0
64,30816,1
52,39097,0
55,114270,1
36,89768,1
38,99767,0
36,48145,0
21,95452,1
28,102050,0
46,107388,1
26,90507,0
35,28007,0
65,53719,1
38,48769,1
36,134682,1
53,68543,1
18,139076,1
25,110397,1
50,92258,1
51,145641,1
60,137369,1
43,85310,1
43,82211,1
59,34596,0
40,109431,0
42,145329,1
23,63925,1
27,46685,0
34,89346,0
54,60806,0
62,56509,1
28,117945,0
62,132153,1
23,76276,0
52,140900,1
38,57311,1
62,104291,1
42,147331,1
63,136074,1
22,104386,1
47,27491,0
55,96898,1
41,102985,0
52,122870,1
58,129415,1
19,25084,0
25,98617,0
42,36241,0
32,21591,0
56,43236,0
58,115505,1
48,83731,0
33,144085,1
56,94478,0
29,103559,1
40,140307,1
18,89669,0
32,81665,0
33,111748,1
57,117820,1
33,28577,0
23,142901,1
19,81120,0
64,90792,1
65,103122,1
36,72329,1
29,22219,0
53,50523,0
42,62078,1
49,88244,1
45,65084,0
20,87526,0
64,31303,0
55,117624,0
51,70948,0
20,59282,0
34,27657,0
39,22079,0
53,107833,0
60,148876,1
23,46660,0
49,35358,0
39,146209,1
46,47856,0
31,141392,1
27,133824,0
57,137248,1
60,145991,1
42,40581,0
27,128730,0
44,57198,0
27,28820,0
38,125595,1
50,138249,1
35,90480,1
32,114071,1
24,61949,0
38,40806,0
50,101974,1
43,145537,1
59,147796,1
28,100395,0
47,81268,0
35,46399,0
57,59224,0
40,45150,1
38,136953,1
33,77132,0
27,117432,0
23,107312,0
59,94055,1
29,121371,1
28,131543,0
22,86656,0
48,119785,0
59,105382,1
51,68845,0
50,54801,0
59,107263,1
34,44578,0
30,103441,0
41,37368,0
50,124263,1
19,26150,0
47,53536,0
19,100879,0
64,64623,1
31,39282,1
44,146593,1
46,73276,1
28,27564,0
53,79129,1
30,95758,0
38,108929,0
45,84772,0
54,106206,0
36,141829,1
46,145617,1
21,25951,0
44,102870,1
43,69708,0
34,142000,0
62,93543,1
38,38449,0
20,45510,0
58,76264,0
64,116826,1
43,145341,1
53,116731,1
47,122665,1
41,120686,1
37,20235,0
43,138618,0
32,56976,0
28,31046,0
58,32342,0
31,39623,0
43,77492,0
45,45522,0
22,137440,1
65,94532,1
42,120424,1
32,83076,0
45,28512,0
28,96589,1
21,21007,0
50,110474,1
50,84077,0
60,124587,1
20,47306,0
60,94182,1
40,60042,0
50,41566,0
22,38381,0
47,119713,1
25,149028,1
35,36984,0
28,66240,0
33,145501,0
43,83888,0
20,148583,1
39,50561,0
18,139235,1
47,79676,1
50,121332,1
32,131785,1
34,42534,0
38,87584,0
42,103691,1
43,55367,0
26,92101,0
43,28070,0
50,140993,1
22,100199,0
64,97129,1
34,105230,1
55,146522,1
57,88836,1
22,51653,0
51,112738,1
41,144165,1
50,95060,1
61,56397,0
28,62533,0
32,93319,1
56,26960,1
38,125881,1
45,100097,0
31,44354,0
65,54157,1
20,39256,0
57,147978,1
54,80279,0
26,116122,0
49,146944,1
18,49975,0
22,23797,0
54,80461,0
61,53062,1
34,121868,1
33,36725,1
29,98344,0
20,125947,1
39,119608,1
58,97236,1
62,123145,1
36,98477,1
56,43710,0
24,92355,0
36,83197,1
38,101994,1
61,28705,0
21,148301,1
58,115756,1
45,58258,0
39,35048,0
20,42890,0
40,44058,1
29,105469,0
52,39250,1
58,20060,0
53,86081,0
18,37771,0
65,39063,0
51,67882,1
41,68770,0
35,32984,0
49,73028,0
40,43930,0
49,122916,1
52,122547,1
22,82552,0
30,76638,0
49,102565,1
34,31485,0
50,145055,1
45,95532,0
64,118723,1
41,130017,1
65,95520,1
65,49629,0
46,140075,1
56,69376,0
34,22482,0
45,72393,1
42,136021,1
63,132217,1
34,31555,0
29,144956,0
40,133374,0
61,134074,1
61,100910,1
24,80535,0
50,51419,0
26,24853,0
43,137071,1
58,79207,1
53,112241,1
18,97834,0
49,61914,0
31,91719,0
61,61832,1
37,24757,0
52,29446,0
35,39816,0
22,149838,1
62,62460,0
32,87779,1
61,62880,1
29,54008,0
20,30789,0
64,65648,0
39,40103,0
42,25287,0
26,117659,1
59,22443,0
59,84929,1
20,123320,0
23,121195,0
25,143618,1
56,52154,0
61,36478,1
56,124537,1
42,129996,1
33,96908,0
31,108861,0
60,103624,1
32,86262,1
46,137718,1
43,39029,0
61,101470,1
50,121721,1
23,75176,0
56,83620,1
21,60809,0
54,20922,0
25,143797,0
63,57573,1
20,96325,1
56,46614,0
29,47345,0
50,138721,1
48,65186,0
52,85441,1
32,86358,1
43,82516,1
45,149972,1
21,96919,0
50,29865,0
54,126732,1
51,144938,1
40,41172,0
34,71860,1
40,135608,0
61,94553,1
65,26645,1
64,147309,1
44,49402,0
29,79052,1
27,22469,0
49,49757,1
24,93509,0
50,82483,0
45,49430,1
52,22983,0
22,81413,0
18,55737,0
29,129397,1
41,143781,1
44,33919,0
56,76133,1
42,65420,0
57,96918,1
20,129575,0
62,40611,1
21,25415,0
34,57641,0
22,26783,0
41,107895,0
40,132726,1
63,123177,1
62,134390,1
36,135893,1
53,40618,0
44,146205,1
57,135520,1
39,106988,1
26,20338,0
28,125500,1
34,52921,0
20,62207,0
56,31122,0
46,116999,1
36,94666,1
25,110600,0
28,95683,1
30,39426,0
49,72375,1
24,130616,1
51,61873,1
30,95039,0
24,121532,1
24,31694,0
65,142732,1
65,29516,1
55,86150,0
19,83230,0
42,22198,0
48,144194,1
45,24018,0
40,71474,0
23,83852,1
52,54911,1
34,87728,0
24,31302,0
32,61874,0
30,106145,1
18,106143,1
49,24425,1
32,49287,0
37,67638,0
62,63303,1
50,145937,1
32,70192,0
56,73947,1
27,22719,0
48,41520,0
52,95186,1
28,40491,0
18,59711,0
41,21917,0
62,104458,0
43,107410,0
21,113789,0
35,56258,0
44,113607,1
59,34382,0
18,98411,0
62,146267,1
53,43051,0
23,110816,1
61,122974,1
21,107955,1
42,144714,1
43,140674,1
23,56220,0
29,23972,0
64,65648,1
54,149828,1
45,119097,1
53,133453,1
64,125228,1
22,58197,0
23,51575,0
37,40662,0
26,59986,0
54,51966,1
58,52913,1
45,33224,0
43,140103,1
64,68302,1
20,136714,1
55,47952,0
34,110093,0
21,106066,1
56,120420,1
32,65539,0
19,102180,0
52,95629,1
45,57265,0
35,78762,0
21,58000,0
64,114914,1
54,88247,1
51,74028,1
19,119131,0
54,97454,1
62,113709,1
35,126019,1
43,146730,1
30,87957,0
50,39956,0
48,103560,1
33,139179,1
54,145733,0
65,106740,1
64,105431,1
26,146457,0
25,75318,0
29,56368,0
23,67523,0
54,112201,1
29,74917,0
64,77932,1
50,140824,1
21,45425,0
33,106123,0
57,140430,1
25,61157,0
64,71693,1
33,35317,0
31,104555,1
59,101121,1
62,53130,0
63,130904,1
19,28666,0
26,103524,0
52,149948,1
41,95916,1
37,141041,1
23,27287,0
22,70072,0
52,128618,1
54,27083,0
64,55435,0
58,44917,0
52,46737,1
47,67517,0
56,132250,1
52,76819,1
56,100435,1
45,62929,0
