Age,EstimatedSalary,Purchased
39,35048,0
60,79720,0
25,98617,0
48,41520,0
55,117624,0
30,34153,0
48,68280,0
27,128730,0
65,142732,1
28,62533,0
18,55737,0
23,46660,0
65,30395,0
31,108861,0
38,87584,0
18,37771,0
28,66240,0
54,21435,0
46,47856,0
47,90981,0
45,24018,0
41,68770,0
50,67924,0
29,144956,0
23,51575,0
49,73028,0
31,126288,0
58,35328,0
28,100395,0
33,43874,0
55,47952,0
62,40611,1
30,60631,0
34,27657,0
46,85155,1
60,33859,0
59,54387,0
40,135608,0
45,33224,0
24,61949,0
57,117820,1
52,39097,0
57,137248,1
42,65420,0
49,32676,0
43,28070,0
41,134130,0
40,41172,0
45,100097,0
50,39956,0
23,105514,0
64,90792,1
44,25408,0
55,94859,1
64,97129,1
22,37685,0
26,23020,0
55,86150,0
34,52921,0
54,27083,0
19,126296,0
43,22050,0
27,73002,0
27,28820,0
26,20338,0
42,62078,1
45,95532,0
32,56976,0
20,59282,0
50,145937,1
32,91907,0
27,133824,0
32,35524,0
21,25951,0
53,43051,0
21,32182,0
19,26150,0
48,58709,1
33,77132,0
44,57198,0
24,31694,0
35,36984,0
50,29865,0
49,35358,0
25,122650,0
22,84772,0
38,60600,0
20,31664,0
29,74917,0
34,31555,0
53,107833,0
25,110600,0
43,93506,0
41,21917,0
20,87526,0
41,125292,0
33,28577,0
30,36371,0
45,33507,0
28,27564,0
35,46399,0
39,67362,0
54,35850,0
42,47696,0
65,26645,1
52,79379,0
27,49373,0
47,123537,0
39,32987,0
19,106231,0
39,47935,0
20,22573,0
18,97834,0
57,59224,0
37,24757,0
54,80279,0
25,143797,0
36,117241,1
29,98344,0
25,75318,0
31,91719,0
36,95713,0
18,59711,0
53,84435,0
37,32175,0
39,40103,0
21,25415,0
26,21645,0
49,114223,1
19,25084,0
31,76846,0
40,109431,0
28,131543,0
64,34060,0
32,70192,0
36,87364,0
33,122337,1
41,38297,0
36,98757,0
38,72603,0
41,65765,0
19,78606,0
26,107272,0
42,87642,0
47,84754,0
64,31303,0
33,35317,0
24,92355,0
62,62460,0
51,109106,1
26,116122,0
45,28512,0
34,69138,0
56,77545,0
37,67638,0
30,52265,0
61,28567,0
45,89274,0
22,132590,0
23,147335,1
42,60738,0
21,58000,0
22,100199,0
35,43510,0
37,90835,0
23,32999,0
31,84484,0
36,73173,0
42,36241,0
39,54560,0
64,55435,0
43,64028,0
61,29077,0
43,51480,0
18,107062,0
21,96919,0
39,68874,0
35,71756,0
47,59666,0
33,57599,0
28,102050,0
39,53933,0
59,34382,0
20,123320,0
23,95418,0
44,29903,0
56,43710,0
50,84077,0
25,74771,0
32,50448,0
56,69376,0
28,21828,0
20,45510,0
59,146523,1
65,49629,0
19,119131,0
45,40609,0
32,21591,0
29,56368,0
52,99026,0
62,27314,0
50,116646,1
53,50523,0
61,101470,1
19,28666,0
55,146522,1
54,145733,0
30,81916,0
43,40953,0
22,86656,0
50,51419,0
36,138681,0
23,107312,0
37,21759,0
26,103524,0
45,61786,0
19,102180,0
44,35896,0
43,138618,0
59,34596,0
28,40491,0
28,96242,0
19,47376,0
25,38574,0
34,89346,0
33,37674,0
48,26640,0
25,26737,0
27,43150,0
30,74302,0
56,94478,0
23,121195,0
47,53572,0
52,149948,1
43,69708,0
39,106988,1
27,91431,0
36,57904,0
48,111357,1
41,107895,0
56,74237,1
34,21279,0
38,62520,0
26,24853,0
28,117945,0
54,106206,0
20,62207,0
48,42180,0
45,58258,0
42,22198,0
38,57311,1
28,31046,0
22,48529,0
58,76264,0
44,44951,0
54,20922,0
34,22482,0
35,21341,0
36,139719,0
59,22443,0
45,37327,0
45,65084,0
50,140824,1
40,43930,0
21,45425,0
22,21622,0
42,25287,0
54,80461,0
48,39541,0
47,61844,0
65,21524,0
22,70072,0
19,100879,0
22,53039,0
39,22079,0
42,90342,0
49,102565,1
58,32342,0
23,33718,0
21,63872,0
42,31954,0
29,32112,0
36,147015,0
26,22336,0
28,39096,0
56,145995,1
19,32219,0
23,53742,0
26,92101,0
21,113789,0
21,85160,0
48,83731,0
34,142000,0
39,146209,1
55,34199,0
37,40662,0
41,29184,0
31,43752,0
18,49975,0
34,110093,0
47,92750,0
64,54020,0
39,36032,1
33,96908,0
39,91324,0
31,44354,0
39,55954,0
20,39256,0
60,77134,0
20,45931,0
32,83076,0
23,82187,0
51,68845,0
61,56397,0
40,71474,0
52,66828,0
50,54801,0
18,77761,0
47,67517,0
25,39129,0
45,45522,0
49,61914,0
21,60809,0
27,22719,0
47,67304,0
24,49711,0
18,23430,0
37,114934,0
29,76942,0
46,80774,0
21,21007,0
49,68285,0
34,57641,0
53,46657,0
